id_cas,proba_0,proba_1,true_label,pred_label
A12,0.7118853282204336,0.2881146717795661,1,0
A14,0.5,0.5,1,1
A17,0.46501433763968797,0.534985662360312,1,1
A18,0.27975338618327616,0.7202466138167237,1,1
A20,0.38836362918141365,0.6116363708185864,1,1
A22,0.3651110156713112,0.6348889843286887,1,1
A23,0.6921925497326862,0.30780745026731354,1,0
A4,0.36042428628930556,0.6395757137106943,1,1
A47,0.37220836337579166,0.6277916366242082,1,1
A48,0.37563046635349256,0.6243695336465074,1,1
A52,0.2905715215724211,0.709428478427579,1,1
A53,0.7276404052846465,0.27235959471535354,1,0
B2,0.31983908006514605,0.6801609199348541,0,1
B23,0.36259334247470876,0.6374066575252912,0,1
B29,0.6479142694021728,0.35208573059782716,0,0
B3,0.7803962833107859,0.21960371668921386,0,0
B37,0.3175519760795891,0.6824480239204109,0,1
B44,0.5708839043564051,0.4291160956435949,0,0
C10,0.4165797321431184,0.5834202678568815,1,1
C15,0.3707099828365818,0.6292900171634181,1,1
C18,0.3690799013685775,0.6309200986314225,1,1
C5,0.4635741044931165,0.5364258955068834,1,1
D22,0.6989659655325515,0.3010340344674485,0,0
D23,0.5882554226775996,0.41174457732240033,0,0
D24,0.6363533707212171,0.36364662927878294,0,0
D28,0.7005592761480325,0.2994407238519677,0,0
D35,0.3874835919308472,0.6125164080691528,0,1
D38,0.6307825161882005,0.3692174838117995,0,0
D4,0.6145143870512473,0.3854856129487529,0,0
D50,0.5023367680412228,0.49766323195877715,0,0
D55,0.8027975045736266,0.19720249542637328,0,0
D57,0.6921531019491354,0.3078468980508645,0,0
